dataset,split,classifier,tuned,accuracy,precision,recall,f1,auc_macro,cm_file,loss_file,best_params
wine,0.6,RF,False,0.9861111111111112,0.9866666666666668,0.9885057471264368,0.9873493256951904,0.9997106481481484,/content/assignment_outputs/rf/wine_RF_split60_cm_notuned.png,,
wine,0.6,RF,True,0.9861111111111112,0.9866666666666668,0.9885057471264368,0.9873493256951904,0.9988866798835724,/content/assignment_outputs/rf/wine_RF_split60_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 50}"
wine,0.7,RF,False,1.0,1.0,1.0,1.0,1.0,/content/assignment_outputs/rf/wine_RF_split70_cm_notuned.png,,
wine,0.7,RF,True,1.0,1.0,1.0,1.0,1.0,/content/assignment_outputs/rf/wine_RF_split70_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 50}"
wine,0.8,RF,False,1.0,1.0,1.0,1.0,1.0,/content/assignment_outputs/rf/wine_RF_split80_cm_notuned.png,,
wine,0.8,RF,True,1.0,1.0,1.0,1.0,1.0,/content/assignment_outputs/rf/wine_RF_split80_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 100}"
wine_pca,0.5,RF,False,0.9101123595505618,0.9122495894909688,0.9146825396825397,0.9132480110688342,0.9891267081945048,/content/assignment_outputs/rf/wine_pca_RF_split50_cm_notuned.png,,
wine_pca,0.5,RF,True,0.9213483146067416,0.9260855683269476,0.9242063492063493,0.9249986737752316,0.9881798861318636,/content/assignment_outputs/rf/wine_pca_RF_split50_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 50}"
wine_pca,0.6,RF,False,0.9166666666666666,0.9255172413793104,0.9201956039524096,0.9224946269281246,0.9907610306185431,/content/assignment_outputs/rf/wine_pca_RF_split60_cm_notuned.png,,
wine_pca,0.6,RF,True,0.9305555555555556,0.9388888888888888,0.9316898568259728,0.934964625642592,0.9930293352193412,/content/assignment_outputs/rf/wine_pca_RF_split60_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 200}"
wine_pca,0.7,RF,False,0.9074074074074074,0.9175084175084176,0.908994708994709,0.9127090201669192,0.9931323820212709,/content/assignment_outputs/rf/wine_pca_RF_split70_cm_notuned.png,,
wine_pca,0.7,RF,True,0.9074074074074074,0.9127153891859776,0.908994708994709,0.9104466592838688,0.9928474817363706,/content/assignment_outputs/rf/wine_pca_RF_split70_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 50}"
wine_pca,0.8,RF,False,0.9444444444444444,0.9484126984126984,0.9484126984126984,0.9484126984126984,0.9955958393458392,/content/assignment_outputs/rf/wine_pca_RF_split80_cm_notuned.png,,
wine_pca,0.8,RF,True,0.9444444444444444,0.9484126984126984,0.9484126984126984,0.9484126984126984,0.9934313371813372,/content/assignment_outputs/rf/wine_pca_RF_split80_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 50}"
